row_type,as_of_end,cur_start,cur_end,prev_start,prev_end,headline,name,value,delta_pct,label,spend,note,impact_usd
header,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,Spend (week),1026.4,-0.37,,,,
metric,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,Spend (week),1026.4,-0.37,,,,
metric,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,Income (week),1084.36,,,,,
driver,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,,,,Finance,500.0,,
driver,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,,,,Misc,432.44,,
driver,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,,,,Gas,58.86,,
driver,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,,,,Shopping,21.36,,
driver,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,,,,Transfers,13.74,,
risk,2025-09-07,2025-09-01,2025-09-07,2025-08-25,2025-08-31,Weekly digest 2025-09-01–2025-09-07,,,,anomaly,,1 anomalies this week,
