row_type,cur_start,cur_end,prev_start,prev_end,name,value,delta_pct,label,spend,note,impact_usd
header,2025-08-01,2025-08-31,2025-07-01,2025-07-31,Spend (month),4067.79,0.2497,,,,
driver,2025-08-01,2025-08-31,2025-07-01,2025-07-31,,,,Misc,1807.42,,
driver,2025-08-01,2025-08-31,2025-07-01,2025-07-31,,,,Uncategorized,1630.43,,
driver,2025-08-01,2025-08-31,2025-07-01,2025-07-31,,,,Shopping,322.40999999999997,,
driver,2025-08-01,2025-08-31,2025-07-01,2025-07-31,,,,Gas,167.06,,
driver,2025-08-01,2025-08-31,2025-07-01,2025-07-31,,,,Groceries,98.64,,
